AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 03.06.2020 at 12:39:25 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
24.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
3.71           Angle of attack for zero Cn for linear Cn curve (deg)
4.77401        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3831        Cn at stall value for positive angle of attack for linear Cn curve
-0.6735        Cn at stall value for negative angle of attack for linear Cn curve
7.50           Angle of attack for minimum CD (deg)
0.0428         Minimum CD value
   -180.00    0.1122    0.0060
   -179.00    0.1770    0.0065
   -178.00    0.2418    0.0081
   -177.00    0.3065    0.0108
   -176.00    0.3711    0.0145
   -175.00    0.4342    0.0192
   -174.00    0.4926    0.0250
   -173.00    0.5419    0.0318
   -172.00    0.5779    0.0396
   -171.00    0.6001    0.0484
   -170.00    0.6124    0.0582
   -169.00    0.6204    0.0690
   -168.00    0.6288    0.0807
   -167.00    0.6397    0.0934
   -166.00    0.6539    0.1070
   -165.00    0.6710    0.1215
   -164.00    0.6905    0.1368
   -163.00    0.7118    0.1531
   -162.00    0.7341    0.1701
   -161.00    0.7571    0.1880
   -160.00    0.7804    0.2067
   -159.00    0.8037    0.2261
   -158.00    0.8268    0.2463
   -157.00    0.8494    0.2672
   -156.00    0.8715    0.2887
   -155.00    0.8928    0.3110
   -154.00    0.9134    0.3338
   -153.00    0.9330    0.3573
   -152.00    0.9517    0.3813
   -151.00    0.9694    0.4059
   -150.00    0.9859    0.4310
   -149.00    1.0013    0.4565
   -148.00    1.0155    0.4825
   -147.00    1.0285    0.5089
   -146.00    1.0402    0.5357
   -145.00    1.0506    0.5629
   -144.00    1.0596    0.5903
   -143.00    1.0673    0.6180
   -142.00    1.0736    0.6460
   -141.00    1.0786    0.6742
   -140.00    1.0821    0.7026
   -139.00    1.0842    0.7310
   -138.00    1.0849    0.7597
   -137.00    1.0841    0.7883
   -136.00    1.0819    0.8170
   -135.00    1.0783    0.8458
   -134.00    1.0732    0.8744
   -133.00    1.0667    0.9031
   -132.00    1.0587    0.9316
   -131.00    1.0494    0.9600
   -130.00    1.0386    0.9882
   -129.00    1.0264    1.0162
   -128.00    1.0129    1.0440
   -127.00    0.9980    1.0715
   -126.00    0.9817    1.0987
   -125.00    0.9642    1.1256
   -124.00    0.9453    1.1521
   -123.00    0.9252    1.1782
   -122.00    0.9038    1.2039
   -121.00    0.8813    1.2291
   -120.00    0.8575    1.2539
   -119.00    0.8327    1.2781
   -118.00    0.8067    1.3018
   -117.00    0.7796    1.3250
   -116.00    0.7516    1.3475
   -115.00    0.7225    1.3694
