AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 17.06.2020 at 13:50:26 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
3.77           Angle of attack for zero Cn for linear Cn curve (deg)
4.63933        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4940        Cn at stall value for positive angle of attack for linear Cn curve
-0.7589        Cn at stall value for negative angle of attack for linear Cn curve
8.00           Angle of attack for minimum CD (deg)
0.0458         Minimum CD value
   -180.00    0.1180    0.0060
   -179.00    0.2484    0.0065
   -178.00    0.3788    0.0081
   -177.00    0.5092    0.0108
   -176.00    0.6380    0.0145
   -175.00    0.7547    0.0192
   -174.00    0.8351    0.0250
   -173.00    0.8558    0.0318
   -172.00    0.8219    0.0396
   -171.00    0.7655    0.0484
   -170.00    0.7150    0.0582
   -169.00    0.6817    0.0690
   -168.00    0.6653    0.0807
   -167.00    0.6622    0.0934
   -166.00    0.6684    0.1070
   -165.00    0.6810    0.1215
   -164.00    0.6978    0.1368
   -163.00    0.7174    0.1531
   -162.00    0.7387    0.1701
   -161.00    0.7611    0.1880
   -160.00    0.7839    0.2067
   -159.00    0.8068    0.2261
   -158.00    0.8296    0.2463
   -157.00    0.8520    0.2672
   -156.00    0.8738    0.2887
   -155.00    0.8950    0.3110
   -154.00    0.9153    0.3338
   -153.00    0.9348    0.3573
   -152.00    0.9533    0.3813
   -151.00    0.9707    0.4059
   -150.00    0.9871    0.4310
   -149.00    1.0023    0.4565
   -148.00    1.0163    0.4825
   -147.00    1.0291    0.5089
   -146.00    1.0406    0.5357
   -145.00    1.0508    0.5629
   -144.00    1.0596    0.5903
   -143.00    1.0671    0.6180
   -142.00    1.0733    0.6460
   -141.00    1.0780    0.6742
   -140.00    1.0814    0.7026
   -139.00    1.0833    0.7311
   -138.00    1.0838    0.7597
   -137.00    1.0829    0.7883
   -136.00    1.0805    0.8170
   -135.00    1.0767    0.8458
   -134.00    1.0715    0.8744
   -133.00    1.0648    0.9031
   -132.00    1.0567    0.9316
   -131.00    1.0472    0.9600
   -130.00    1.0363    0.9882
   -129.00    1.0241    1.0162
   -128.00    1.0104    1.0440
   -127.00    0.9954    1.0715
   -126.00    0.9791    1.0987
   -125.00    0.9615    1.1256
   -124.00    0.9426    1.1521
   -123.00    0.9224    1.1782
   -122.00    0.9010    1.2039
   -121.00    0.8784    1.2291
   -120.00    0.8546    1.2539
   -119.00    0.8297    1.2781
   -118.00    0.8038    1.3018
   -117.00    0.7767    1.3250
   -116.00    0.7487    1.3475
   -115.00    0.7196    1.3694
   -114.00    0.6896    1.3907
   -113.00    0.6588    1.4113
   -112.00    0.6270    1.4312
   -111.00    0.5945    1.4504
   -110.00    0.5612    1.4688
   -109.00    0.5272    1.4865
   -108.00    0.4925    1.5034
   -107.00    0.4567    1.5195
   -106.00    0.4208    1.5348
   -105.00    0.3844    1.5492
   -104.00    0.3476    1.5628
   -103.00    0.3103    1.5755
   -102.00    0.2726    1.5874
   -101.00    0.2347    1.5983
   -100.00    0.1964    1.6083
    -99.00    0.1579    1.6174
    -98.00    0.1193    1.6256
    -97.00    0.0805    1.6329
    -96.00    0.0417    1.6392
    -95.00    0.0028    1.6445
    -94.00   -0.0360    1.6489
    -93.00   -0.0748    1.6523
    -92.00   -0.1134    1.6547
    -91.00   -0.1519    1.6562
    -90.00   -0.1901    1.6567
    -89.00   -0.2280    1.6562
    -88.00   -0.2657    1.6547
    -87.00   -0.3029    1.6523
    -86.00   -0.3398    1.6489
    -85.00   -0.3762    1.6445
    -84.00   -0.4121    1.6391
    -83.00   -0.4474    1.6329
    -82.00   -0.4822    1.6256
    -81.00   -0.5164    1.6174
    -80.00   -0.5499    1.6083
    -79.00   -0.5827    1.5983
    -78.00   -0.6147    1.5873
    -77.00   -0.6460    1.5755
    -76.00   -0.6765    1.5628
    -75.00   -0.7062    1.5492
    -74.00   -0.7349    1.5347
    -73.00   -0.7628    1.5195
    -72.00   -0.7898    1.5034
    -71.00   -0.8158    1.4865
    -70.00   -0.8408    1.4688
    -69.00   -0.8647    1.4503
    -68.00   -0.8877    1.4311
    -67.00   -0.9096    1.4112
    -66.00   -0.9304    1.3906
    -65.00   -0.9502    1.3694
    -64.00   -0.9688    1.3474
    -63.00   -0.9863    1.3249
    -62.00   -1.0027    1.3018
    -61.00   -1.0179    1.2781
    -60.00   -1.0319    1.2538
    -59.00   -1.0448    1.2291
    -58.00   -1.0565    1.2038
    -57.00   -1.0670    1.1781
    -56.00   -1.0763    1.1520
    -55.00   -1.0844    1.1255
    -54.00   -1.0913    1.0986
    -53.00   -1.0971    1.0714
    -52.00   -1.1016    1.0439
    -51.00   -1.1049    1.0161
    -50.00   -1.1070    0.9880
    -49.00   -1.1080    0.9598
    -48.00   -1.1078    0.9314
    -47.00   -1.1064    0.9029
