AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 17.06.2020 at 13:50:26 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
1.52330        Cn slope for zero lift for linear Cn curve (1/rad)
0.9929         Cn at stall value for positive angle of attack for linear Cn curve
-0.6810        Cn at stall value for negative angle of attack for linear Cn curve
6.00           Angle of attack for minimum CD (deg)
0.0198         Minimum CD value
   -180.00   -0.3433    0.0060
   -179.00   -0.3054    0.0065
   -178.00   -0.2683    0.0081
   -177.00   -0.2322    0.0108
   -176.00   -0.1970    0.0145
   -175.00   -0.1627    0.0192
   -174.00   -0.1293    0.0250
   -173.00   -0.0969    0.0318
   -172.00   -0.0654    0.0396
   -171.00   -0.0349    0.0484
   -170.00   -0.0053    0.0582
   -169.00    0.0233    0.0690
   -168.00    0.0508    0.0807
   -167.00    0.0773    0.0934
   -166.00    0.1028    0.1070
   -165.00    0.1271    0.1215
   -164.00    0.1504    0.1368
   -163.00    0.1725    0.1531
   -162.00    0.1935    0.1701
   -161.00    0.2133    0.1880
   -160.00    0.2319    0.2067
   -159.00    0.2494    0.2261
   -158.00    0.2657    0.2463
   -157.00    0.2807    0.2672
   -156.00    0.2946    0.2887
   -155.00    0.3073    0.3110
   -154.00    0.3188    0.3338
   -153.00    0.3292    0.3573
   -152.00    0.3384    0.3813
   -151.00    0.3464    0.4059
   -150.00    0.3533    0.4310
   -149.00    0.3591    0.4565
   -148.00    0.3638    0.4825
   -147.00    0.3675    0.5089
   -146.00    0.3702    0.5357
   -145.00    0.3718    0.5629
   -144.00    0.3725    0.5903
   -143.00    0.3723    0.6180
   -142.00    0.3711    0.6460
   -141.00    0.3692    0.6742
   -140.00    0.3664    0.7026
   -139.00    0.3629    0.7310
   -138.00    0.3586    0.7597
   -137.00    0.3536    0.7883
   -136.00    0.3480    0.8170
   -135.00    0.3419    0.8458
   -134.00    0.3351    0.8744
   -133.00    0.3279    0.9031
   -132.00    0.3202    0.9316
   -131.00    0.3121    0.9600
   -130.00    0.3036    0.9882
   -129.00    0.2948    1.0162
   -128.00    0.2858    1.0440
   -127.00    0.2764    1.0715
   -126.00    0.2669    1.0987
