AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 19.06.2020 at 19:17:00 Compatible with AeroDyn v13.0.
Polar "T1_Re0.020_M0.00_N9.0 360 V" on Foil "T1_Re0.020_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
5.50           Angle of attack for zero Cn for linear Cn curve (deg)
6.26683        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4903        Cn at stall value for positive angle of attack for linear Cn curve
-0.5446        Cn at stall value for negative angle of attack for linear Cn curve
5.00           Angle of attack for minimum CD (deg)
0.0546         Minimum CD value
   -180.00    0.0000    0.0000
   -179.00    0.0314    0.0005
   -178.00    0.0628    0.0022
   -177.00    0.0940    0.0049
   -176.00    0.1252    0.0088
   -175.00    0.1562    0.0137
   -174.00    0.1871    0.0197
   -173.00    0.2177    0.0267
   -172.00    0.2480    0.0349
   -171.00    0.2780    0.0440
   -170.00    0.3077    0.0543
   -169.00    0.3370    0.0655
   -168.00    0.3660    0.0778
   -167.00    0.3944    0.0911
   -166.00    0.4224    0.1053
   -165.00    0.4499    0.1206
   -164.00    0.4768    0.1368
   -163.00    0.5031    0.1539
   -162.00    0.5288    0.1719
   -161.00    0.5539    0.1908
   -160.00    0.5783    0.2106
   -159.00    0.6020    0.2312
   -158.00    0.6250    0.2526
   -157.00    0.6472    0.2748
   -156.00    0.6686    0.2978
   -155.00    0.6892    0.3215
   -154.00    0.7090    0.3459
   -153.00    0.7279    0.3710
   -152.00    0.7459    0.3967
   -151.00    0.7630    0.4231
   -150.00    0.7792    0.4500
   -149.00    0.7944    0.4775
   -148.00    0.8087    0.5055
   -147.00    0.8219    0.5339
   -146.00    0.8342    0.5629
   -145.00    0.8455    0.5922
   -144.00    0.8557    0.6219
   -143.00    0.8649    0.6519
   -142.00    0.8730    0.6823
   -141.00    0.8801    0.7129
   -140.00    0.8861    0.7437
   -139.00    0.8910    0.7747
   -138.00    0.8948    0.8059
   -137.00    0.8975    0.8372
   -136.00    0.8992    0.8686
   -135.00    0.8997    0.9000
   -134.00    0.8992    0.9314
   -133.00    0.8975    0.9628
   -132.00    0.8948    0.9941
   -131.00    0.8910    1.0253
   -130.00    0.8861    1.0563
   -129.00    0.8801    1.0871
   -128.00    0.8730    1.1177
   -127.00    0.8649    1.1481
   -126.00    0.8557    1.1781
   -125.00    0.8455    1.2078
   -124.00    0.8342    1.2371
   -123.00    0.8219    1.2661
   -122.00    0.8087    1.2945
   -121.00    0.7944    1.3225
   -120.00    0.7792    1.3500
   -119.00    0.7630    1.3769
   -118.00    0.7459    1.4033
   -117.00    0.7279    1.4290
   -116.00    0.7090    1.4541
   -115.00    0.6892    1.4785
   -114.00    0.6686    1.5022
   -113.00    0.6472    1.5252
   -112.00    0.6250    1.5474
   -111.00    0.6020    1.5688
   -110.00    0.5783    1.5894
   -109.00    0.5539    1.6092
   -108.00    0.5288    1.6281
   -107.00    0.5031    1.6461
   -106.00    0.4768    1.6632
   -105.00    0.4499    1.6794
   -104.00    0.4224    1.6947
   -103.00    0.3944    1.7089
   -102.00    0.3660    1.7222
   -101.00    0.3370    1.7345
   -100.00    0.3077    1.7457
    -99.00    0.2780    1.7560
    -98.00    0.2480    1.7651
    -97.00    0.2177    1.7733
    -96.00    0.1871    1.7803
    -95.00    0.1562    1.7863
    -94.00    0.1252    1.7912
    -93.00    0.0940    1.7951
    -92.00    0.0628    1.7978
    -91.00    0.0314    1.7995
    -90.00   -0.0000    1.8000
    -89.00   -0.0314    1.7998
    -88.00   -0.0627    1.7986
    -87.00   -0.0939    1.7962
    -86.00   -0.1250    1.7928
    -85.00   -0.1559    1.7883
    -84.00   -0.1866    1.7826
    -83.00   -0.2170    1.7760
    -82.00   -0.2471    1.7682
    -81.00   -0.2769    1.7594
    -80.00   -0.3064    1.7496
    -79.00   -0.3354    1.7387
    -78.00   -0.3640    1.7268
    -77.00   -0.3921    1.7139
    -76.00   -0.4197    1.7000
    -75.00   -0.4467    1.6852
    -74.00   -0.4732    1.6693
    -73.00   -0.4990    1.6526
    -72.00   -0.5242    1.6350
    -71.00   -0.5488    1.6164
    -70.00   -0.5726    1.5970
    -69.00   -0.5957    1.5768
    -68.00   -0.6180    1.5557
    -67.00   -0.6395    1.5338
    -66.00   -0.6602    1.5112
    -65.00   -0.6801    1.4879
    -64.00   -0.6991    1.4638
    -63.00   -0.7171    1.4391
    -62.00   -0.7343    1.4137
    -61.00   -0.7505    1.3877
    -60.00   -0.7657    1.3611
    -59.00   -0.7800    1.3339
    -58.00   -0.7932    1.3063
    -57.00   -0.8054    1.2781
    -56.00   -0.8166    1.2495
    -55.00   -0.8266    1.2205
    -54.00   -0.8357    1.1911
    -53.00   -0.8436    1.1614
    -52.00   -0.8504    1.1314
    -51.00   -0.8561    1.1010
    -50.00   -0.8607    1.0705
    -49.00   -0.8642    1.0398
    -48.00   -0.8665    1.0089
    -47.00   -0.8676    0.9779
    -46.00   -0.8676    0.9468
    -45.00   -0.8664    0.9156
    -44.00   -0.8641    0.8845
    -43.00   -0.8606    0.8534
    -42.00   -0.8559    0.8224
    -41.00   -0.8500    0.7914
    -40.00   -0.8430    0.7607
    -39.00   -0.8348    0.7301
    -38.00   -0.8254    0.6997
    -37.00   -0.8148    0.6696
    -36.00   -0.8031    0.6398
    -35.00   -0.7902    0.6103
    -34.00   -0.7761    0.5812
    -33.00   -0.7609    0.5525
    -32.00   -0.7445    0.5242
    -31.00   -0.7269    0.4964
    -30.00   -0.7082    0.4692
    -29.00   -0.6883    0.4424
    -28.00   -0.6673    0.4163
    -27.00   -0.6451    0.3907
    -26.00   -0.6217    0.3658
    -25.00   -0.5971    0.3415
    -24.00   -0.5714    0.3180
    -23.00   -0.5444    0.2952
    -22.00   -0.5162    0.2731
    -21.00   -0.4867    0.2518
    -20.00   -0.4559    0.2462
    -19.00   -0.4392    0.2401
    -18.00   -0.4360    0.2449
    -17.00   -0.4057    0.2235
    -16.00   -0.3933    0.2177
    -15.00   -0.3913    0.2164
    -14.00   -0.3674    0.2010
    -13.00   -0.3811    0.2056
    -12.00   -0.3513    0.1862
    -11.00   -0.3524    0.1811
    -10.00   -0.3533    0.1756
