AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 19.06.2020 at 19:17:00 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
1.43           Angle of attack for zero Cn for linear Cn curve (deg)
7.80220        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4946        Cn at stall value for positive angle of attack for linear Cn curve
-0.6636        Cn at stall value for negative angle of attack for linear Cn curve
6.00           Angle of attack for minimum CD (deg)
0.0329         Minimum CD value
   -180.00    0.0400    0.0060
   -179.00    0.1432    0.0065
   -178.00    0.2464    0.0081
   -177.00    0.3487    0.0108
   -176.00    0.4451    0.0145
   -175.00    0.5238    0.0192
   -174.00    0.5707    0.0250
   -173.00    0.5821    0.0318
   -172.00    0.5697    0.0396
   -171.00    0.5506    0.0484
   -170.00    0.5360    0.0582
   -169.00    0.5299    0.0690
   -168.00    0.5320    0.0807
   -167.00    0.5407    0.0934
   -166.00    0.5542    0.1070
   -165.00    0.5712    0.1215
   -164.00    0.5904    0.1368
   -163.00    0.6111    0.1531
   -162.00    0.6327    0.1701
   -161.00    0.6547    0.1880
   -160.00    0.6768    0.2067
   -159.00    0.6988    0.2261
   -158.00    0.7204    0.2463
   -157.00    0.7416    0.2672
   -156.00    0.7621    0.2887
   -155.00    0.7820    0.3110
   -154.00    0.8010    0.3338
   -153.00    0.8191    0.3573
   -152.00    0.8363    0.3813
   -151.00    0.8526    0.4059
   -150.00    0.8678    0.4310
   -149.00    0.8819    0.4565
   -148.00    0.8949    0.4825
   -147.00    0.9068    0.5089
   -146.00    0.9175    0.5357
   -145.00    0.9270    0.5629
   -144.00    0.9352    0.5903
   -143.00    0.9423    0.6180
   -142.00    0.9481    0.6460
   -141.00    0.9527    0.6742
   -140.00    0.9559    0.7026
   -139.00    0.9579    0.7311
   -138.00    0.9587    0.7597
   -137.00    0.9581    0.7883
   -136.00    0.9562    0.8170
   -135.00    0.9531    0.8458
   -134.00    0.9487    0.8744
   -133.00    0.9430    0.9031
   -132.00    0.9360    0.9316
   -131.00    0.9278    0.9600
   -130.00    0.9183    0.9882
   -129.00    0.9076    1.0162
   -128.00    0.8957    1.0440
   -127.00    0.8825    1.0715
   -126.00    0.8682    1.0987
   -125.00    0.8528    1.1256
   -124.00    0.8362    1.1521
   -123.00    0.8185    1.1782
   -122.00    0.7997    1.2039
   -121.00    0.7799    1.2291
   -120.00    0.7590    1.2539
   -119.00    0.7371    1.2781
   -118.00    0.7143    1.3018
   -117.00    0.6905    1.3250
   -116.00    0.6659    1.3475
   -115.00    0.6403    1.3694
   -114.00    0.6140    1.3907
   -113.00    0.5869    1.4113
   -112.00    0.5590    1.4312
   -111.00    0.5304    1.4504
   -110.00    0.5011    1.4688
   -109.00    0.4712    1.4865
   -108.00    0.4401    1.5034
   -107.00    0.4091    1.5195
   -106.00    0.3775    1.5348
   -105.00    0.3456    1.5492
   -104.00    0.3132    1.5628
   -103.00    0.2804    1.5755
   -102.00    0.2473    1.5874
   -101.00    0.2139    1.5983
   -100.00    0.1803    1.6083
    -99.00    0.1464    1.6174
    -98.00    0.1125    1.6256
    -97.00    0.0784    1.6329
    -96.00    0.0443    1.6391
    -95.00    0.0101    1.6445
    -94.00   -0.0240    1.6489
    -93.00   -0.0581    1.6523
    -92.00   -0.0921    1.6547
    -91.00   -0.1259    1.6562
    -90.00   -0.1595    1.6566
    -89.00   -0.1928    1.6562
    -88.00   -0.2259    1.6547
    -87.00   -0.2587    1.6523
    -86.00   -0.2911    1.6488
    -85.00   -0.3231    1.6445
    -84.00   -0.3547    1.6391
    -83.00   -0.3858    1.6328
    -82.00   -0.4164    1.6256
    -81.00   -0.4464    1.6174
    -80.00   -0.4759    1.6083
    -79.00   -0.5047    1.5983
    -78.00   -0.5329    1.5873
    -77.00   -0.5604    1.5755
    -76.00   -0.5873    1.5628
    -75.00   -0.6133    1.5492
    -74.00   -0.6387    1.5347
    -73.00   -0.6632    1.5194
    -72.00   -0.6869    1.5033
    -71.00   -0.7098    1.4864
    -70.00   -0.7318    1.4688
    -69.00   -0.7529    1.4503
    -68.00   -0.7731    1.4311
    -67.00   -0.7924    1.4112
    -66.00   -0.8108    1.3906
    -65.00   -0.8282    1.3693
    -64.00   -0.8446    1.3474
    -63.00   -0.8600    1.3249
    -62.00   -0.8744    1.3017
    -61.00   -0.8878    1.2780
    -60.00   -0.9002    1.2538
    -59.00   -0.9115    1.2290
    -58.00   -0.9218    1.2038
    -57.00   -0.9310    1.1781
    -56.00   -0.9392    1.1520
    -55.00   -0.9464    1.1254
    -54.00   -0.9525    1.0985
    -53.00   -0.9575    1.0713
    -52.00   -0.9614    1.0438
    -51.00   -0.9643    1.0160
    -50.00   -0.9662    0.9880
    -49.00   -0.9670    0.9598
    -48.00   -0.9667    0.9314
    -47.00   -0.9654    0.9028
    -46.00   -0.9631    0.8742
    -45.00   -0.9598    0.8455
    -44.00   -0.9554    0.8168
    -43.00   -0.9501    0.7881
    -42.00   -0.9437    0.7594
    -41.00   -0.9364    0.7307
    -40.00   -0.9281    0.7022
    -39.00   -0.9189    0.6738
    -38.00   -0.9088    0.6456
    -37.00   -0.8978    0.6176
    -36.00   -0.8858    0.5899
    -35.00   -0.8731    0.5624
    -34.00   -0.8595    0.5352
    -33.00   -0.8451    0.5084
    -32.00   -0.8299    0.4819
    -31.00   -0.8139    0.4559
    -30.00   -0.7973    0.4303
    -29.00   -0.7800    0.4051
    -28.00   -0.7621    0.3805
    -27.00   -0.7435    0.3564
    -26.00   -0.7245    0.3328
    -25.00   -0.7051    0.3098
    -24.00   -0.6852    0.2875
    -23.00   -0.6651    0.2657
    -22.00   -0.6449    0.2447
    -21.00   -0.6248    0.2243
    -20.00   -0.4583    0.2373
