AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 19.06.2020 at 19:17:00 Compatible with AeroDyn v13.0.
Polar "T1_Re0.200_M0.00_N9.0 360 M" on Foil "T1_Re0.200_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.57          Angle of attack for zero Cn for linear Cn curve (deg)
3.15588        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3997        Cn at stall value for positive angle of attack for linear Cn curve
-0.5737        Cn at stall value for negative angle of attack for linear Cn curve
3.00           Angle of attack for minimum CD (deg)
0.0177         Minimum CD value
   -180.00   -0.0814    0.0060
   -179.00   -0.0196    0.0065
   -178.00    0.0397    0.0081
   -177.00    0.0940    0.0108
   -176.00    0.1402    0.0145
   -175.00    0.1773    0.0192
   -174.00    0.2061    0.0250
   -173.00    0.2292    0.0318
   -172.00    0.2493    0.0396
   -171.00    0.2682    0.0484
   -170.00    0.2872    0.0582
   -169.00    0.3065    0.0690
   -168.00    0.3262    0.0807
   -167.00    0.3463    0.0934
   -166.00    0.3665    0.1070
   -165.00    0.3868    0.1215
   -164.00    0.4068    0.1368
   -163.00    0.4265    0.1531
   -162.00    0.4457    0.1701
   -161.00    0.4644    0.1880
   -160.00    0.4824    0.2067
   -159.00    0.4997    0.2261
   -158.00    0.5162    0.2463
   -157.00    0.5319    0.2672
   -156.00    0.5468    0.2887
   -155.00    0.5607    0.3110
   -154.00    0.5737    0.3338
   -153.00    0.5858    0.3573
   -152.00    0.5970    0.3813
   -151.00    0.6071    0.4059
   -150.00    0.6163    0.4310
   -149.00    0.6245    0.4565
   -148.00    0.6317    0.4825
   -147.00    0.6380    0.5089
   -146.00    0.6432    0.5357
   -145.00    0.6475    0.5629
   -144.00    0.6508    0.5903
   -143.00    0.6532    0.6180
   -142.00    0.6546    0.6460
   -141.00    0.6551    0.6742
   -140.00    0.6546    0.7026
   -139.00    0.6532    0.7310
   -138.00    0.6510    0.7597
   -137.00    0.6478    0.7883
   -136.00    0.6438    0.8170
   -135.00    0.6390    0.8458
   -134.00    0.6333    0.8744
   -133.00    0.6268    0.9031
   -132.00    0.6196    0.9316
   -131.00    0.6116    0.9600
   -130.00    0.6028    0.9882
   -129.00    0.5933    1.0162
   -128.00    0.5832    1.0440
   -127.00    0.5724    1.0715
   -126.00    0.5609    1.0987
   -125.00    0.5488    1.1256
   -124.00    0.5361    1.1521
   -123.00    0.5228    1.1782
   -122.00    0.5090    1.2039
   -121.00    0.4946    1.2291
   -120.00    0.4798    1.2539
   -119.00    0.4644    1.2781
   -118.00    0.4486    1.3018
   -117.00    0.4324    1.3250
   -116.00    0.4158    1.3475
   -115.00    0.3988    1.3694
   -114.00    0.3814    1.3907
   -113.00    0.3637    1.4113
   -112.00    0.3448    1.4312
   -111.00    0.3265    1.4504
   -110.00    0.3080    1.4688
   -109.00    0.2892    1.4865
   -108.00    0.2702    1.5034
   -107.00    0.2510    1.5195
   -106.00    0.2316    1.5348
   -105.00    0.2120    1.5492
   -104.00    0.1924    1.5628
   -103.00    0.1725    1.5755
   -102.00    0.1526    1.5873
   -101.00    0.1326    1.5983
   -100.00    0.1126    1.6083
    -99.00    0.0925    1.6174
    -98.00    0.0724    1.6256
    -97.00    0.0522    1.6328
    -96.00    0.0321    1.6391
