AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 19.06.2020 at 19:17:00 Compatible with AeroDyn v13.0.
Polar "T1_Re0.500_M0.00_N9.0 360 M" on Foil "T1_Re0.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
1.51021        Cn slope for zero lift for linear Cn curve (1/rad)
1.2445         Cn at stall value for positive angle of attack for linear Cn curve
-0.6796        Cn at stall value for negative angle of attack for linear Cn curve
5.00           Angle of attack for minimum CD (deg)
0.0269         Minimum CD value
   -180.00   -0.3034    0.0060
   -179.00   -0.2586    0.0065
   -178.00   -0.2160    0.0081
   -177.00   -0.1762    0.0108
   -176.00   -0.1392    0.0145
   -175.00   -0.1050    0.0192
   -174.00   -0.0730    0.0250
   -173.00   -0.0427    0.0318
   -172.00   -0.0138    0.0396
   -171.00    0.0140    0.0484
   -170.00    0.0408    0.0582
   -169.00    0.0668    0.0690
   -168.00    0.0918    0.0807
   -167.00    0.1159    0.0934
   -166.00    0.1391    0.1070
   -165.00    0.1613    0.1215
   -164.00    0.1825    0.1368
   -163.00    0.2027    0.1531
   -162.00    0.2218    0.1701
   -161.00    0.2398    0.1880
   -160.00    0.2566    0.2067
   -159.00    0.2723    0.2261
   -158.00    0.2869    0.2463
   -157.00    0.3003    0.2672
   -156.00    0.3125    0.2887
   -155.00    0.3236    0.3110
   -154.00    0.3335    0.3338
   -153.00    0.3423    0.3573
   -152.00    0.3500    0.3813
   -151.00    0.3565    0.4059
   -150.00    0.3620    0.4310
   -149.00    0.3664    0.4565
   -148.00    0.3697    0.4825
   -147.00    0.3721    0.5089
   -146.00    0.3734    0.5357
   -145.00    0.3738    0.5629
   -144.00    0.3733    0.5903
   -143.00    0.3719    0.6180
   -142.00    0.3696    0.6460
   -141.00    0.3666    0.6742
   -140.00    0.3628    0.7026
