AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 02.07.2020 at 17:32:17 Compatible with AeroDyn v13.0.
Polar "T1_Re0.020_M0.00_N9.0 360 V" on Foil "T1_Re0.020_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
44.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-6.59          Angle of attack for zero Cn for linear Cn curve (deg)
2.51196        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7120        Cn at stall value for positive angle of attack for linear Cn curve
-0.7315        Cn at stall value for negative angle of attack for linear Cn curve
1.00           Angle of attack for minimum CD (deg)
0.0520         Minimum CD value
   -180.00    0.0000    0.0000
   -179.00    0.0314    0.0005
   -178.00    0.0628    0.0022
   -177.00    0.0940    0.0049
   -176.00    0.1252    0.0088
   -175.00    0.1562    0.0137
   -174.00    0.1871    0.0197
   -173.00    0.2177    0.0267
   -172.00    0.2480    0.0349
   -171.00    0.2780    0.0440
   -170.00    0.3077    0.0543
   -169.00    0.3370    0.0655
   -168.00    0.3660    0.0778
   -167.00    0.3944    0.0911
   -166.00    0.4224    0.1053
   -165.00    0.4499    0.1206
   -164.00    0.4768    0.1368
   -163.00    0.5031    0.1539
   -162.00    0.5288    0.1719
   -161.00    0.5539    0.1908
   -160.00    0.5783    0.2106
   -159.00    0.6020    0.2312
   -158.00    0.6250    0.2526
   -157.00    0.6472    0.2748
   -156.00    0.6686    0.2978
   -155.00    0.6892    0.3215
   -154.00    0.7090    0.3459
   -153.00    0.7279    0.3710
   -152.00    0.7459    0.3967
   -151.00    0.7630    0.4231
   -150.00    0.7792    0.4500
   -149.00    0.7944    0.4775
   -148.00    0.8087    0.5055
   -147.00    0.8219    0.5339
   -146.00    0.8342    0.5629
   -145.00    0.8455    0.5922
   -144.00    0.8557    0.6219
   -143.00    0.8649    0.6519
   -142.00    0.8730    0.6823
   -141.00    0.8801    0.7129
   -140.00    0.8861    0.7437
   -139.00    0.8910    0.7747
   -138.00    0.8948    0.8059
   -137.00    0.8975    0.8372
   -136.00    0.8992    0.8686
   -135.00    0.8997    0.9000
   -134.00    0.8992    0.9314
   -133.00    0.8975    0.9628
   -132.00    0.8948    0.9941
   -131.00    0.8910    1.0253
   -130.00    0.8861    1.0563
   -129.00    0.8801    1.0871
   -128.00    0.8730    1.1177
   -127.00    0.8649    1.1481
   -126.00    0.8557    1.1781
   -125.00    0.8455    1.2078
   -124.00    0.8342    1.2371
   -123.00    0.8219    1.2661
   -122.00    0.8087    1.2945
   -121.00    0.7944    1.3225
   -120.00    0.7792    1.3500
   -119.00    0.7630    1.3769
   -118.00    0.7459    1.4033
   -117.00    0.7279    1.4290
   -116.00    0.7090    1.4541
   -115.00    0.6892    1.4785
   -114.00    0.6686    1.5022
   -113.00    0.6472    1.5252
   -112.00    0.6250    1.5474
   -111.00    0.6020    1.5688
   -110.00    0.5783    1.5894
   -109.00    0.5539    1.6092
   -108.00    0.5288    1.6281
   -107.00    0.5031    1.6461
   -106.00    0.4768    1.6632
   -105.00    0.4499    1.6794
   -104.00    0.4224    1.6947
   -103.00    0.3944    1.7089
   -102.00    0.3660    1.7222
   -101.00    0.3370    1.7345
   -100.00    0.3077    1.7457
    -99.00    0.2780    1.7560
    -98.00    0.2480    1.7651
    -97.00    0.2177    1.7733
    -96.00    0.1871    1.7803
    -95.00    0.1562    1.7863
    -94.00    0.1252    1.7912
    -93.00    0.0940    1.7951
    -92.00    0.0628    1.7978
    -91.00    0.0314    1.7995
    -90.00   -0.0000    1.8000
    -89.00   -0.0314    1.8002
    -88.00   -0.0628    1.7992
    -87.00   -0.0942    1.7972
    -86.00   -0.1254    1.7941
    -85.00   -0.1565    1.7899
    -84.00   -0.1875    1.7846
    -83.00   -0.2182    1.7782
    -82.00   -0.2487    1.7708
    -81.00   -0.2789    1.7623
    -80.00   -0.3088    1.7528
    -79.00   -0.3383    1.7422
    -78.00   -0.3675    1.7306
    -77.00   -0.3962    1.7180
    -76.00   -0.4245    1.7044
    -75.00   -0.4522    1.6899
    -74.00   -0.4795    1.6744
    -73.00   -0.5061    1.6580
    -72.00   -0.5322    1.6406
    -71.00   -0.5577    1.6224
    -70.00   -0.5825    1.6033
    -69.00   -0.6066    1.5833
    -68.00   -0.6301    1.5626
    -67.00   -0.6527    1.5410
    -66.00   -0.6746    1.5187
    -65.00   -0.6958    1.4956
    -64.00   -0.7161    1.4718
    -63.00   -0.7355    1.4474
    -62.00   -0.7542    1.4223
    -61.00   -0.7719    1.3966
    -60.00   -0.7887    1.3702
    -59.00   -0.8046    1.3434
    -58.00   -0.8195    1.3160
    -57.00   -0.8335    1.2881
    -56.00   -0.8466    1.2598
    -55.00   -0.8586    1.2310
    -54.00   -0.8697    1.2019
    -53.00   -0.8797    1.1724
    -52.00   -0.8887    1.1426
    -51.00   -0.8967    1.1126
    -50.00   -0.9036    1.0823
    -49.00   -0.9096    1.0518
    -48.00   -0.9144    1.0212
    -47.00   -0.9182    0.9904
    -46.00   -0.9210    0.9595
    -45.00   -0.9227    0.9286
    -44.00   -0.9234    0.8977
    -43.00   -0.9230    0.8668
    -42.00   -0.9216    0.8360
    -41.00   -0.9191    0.8053
    -40.00   -0.9156    0.7747
    -39.00   -0.9112    0.7443
    -38.00   -0.9057    0.7142
    -37.00   -0.8992    0.6843
    -36.00   -0.8917    0.6546
    -35.00   -0.8833    0.6253
    -34.00   -0.8739    0.5964
    -33.00   -0.8637    0.5679
    -32.00   -0.8525    0.5398
    -31.00   -0.8405    0.5122
    -30.00   -0.8276    0.4851
    -29.00   -0.8139    0.4585
    -28.00   -0.7995    0.4325
    -27.00   -0.7843    0.4071
    -26.00   -0.7684    0.3823
    -25.00   -0.7519    0.3582
    -24.00   -0.7347    0.3348
    -23.00   -0.7170    0.3121
    -22.00   -0.6989    0.2901
    -21.00   -0.6803    0.2690
    -20.00   -0.6614    0.2645
    -19.00   -0.6285    0.2512
    -18.00   -0.5890    0.2334
    -17.00   -0.5354    0.2120
    -16.00   -0.5025    0.2010
    -15.00   -0.4644    0.1875
    -14.00   -0.4363    0.1786
    -13.00   -0.3918    0.1644
    -12.00   -0.3591    0.1542
    -11.00   -0.2858    0.1344
    -10.00   -0.2237    0.1200
