AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 02.07.2020 at 17:32:17 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
8.00           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
15.04492       Cn slope for zero lift for linear Cn curve (1/rad)
0.7870         Cn at stall value for positive angle of attack for linear Cn curve
-0.7873        Cn at stall value for negative angle of attack for linear Cn curve
3.00           Angle of attack for minimum CD (deg)
0.0329         Minimum CD value
   -180.00    0.0000    0.0060
   -179.00    0.1352    0.0065
   -178.00    0.2703    0.0080
   -177.00    0.4031    0.0106
   -176.00    0.5214    0.0141
   -175.00    0.6007    0.0187
   -174.00    0.6218    0.0242
   -173.00    0.5942    0.0308
   -172.00    0.5483    0.0383
   -171.00    0.5077    0.0468
   -170.00    0.4810    0.0563
   -169.00    0.4681    0.0668
   -168.00    0.4660    0.0781
   -167.00    0.4716    0.0904
   -166.00    0.4825    0.1037
   -165.00    0.4970    0.1178
   -164.00    0.5138    0.1328
   -163.00    0.5322    0.1486
   -162.00    0.5513    0.1653
   -161.00    0.5709    0.1829
   -160.00    0.5906    0.2012
   -159.00    0.6102    0.2203
   -158.00    0.6295    0.2402
   -157.00    0.6482    0.2607
   -156.00    0.6665    0.2820
   -155.00    0.6840    0.3040
   -154.00    0.7008    0.3267
   -153.00    0.7168    0.3499
   -152.00    0.7319    0.3738
   -151.00    0.7461    0.3982
   -150.00    0.7594    0.4232
   -149.00    0.7716    0.4486
   -148.00    0.7829    0.4746
   -147.00    0.7932    0.5010
   -146.00    0.8024    0.5278
   -145.00    0.8105    0.5550
   -144.00    0.8175    0.5825
   -143.00    0.8235    0.6103
   -142.00    0.8283    0.6385
   -141.00    0.8320    0.6668
   -140.00    0.8346    0.6954
   -139.00    0.8360    0.7242
   -138.00    0.8364    0.7531
   -137.00    0.8356    0.7821
   -136.00    0.8336    0.8112
   -135.00    0.8306    0.8403
   -134.00    0.8264    0.8694
   -133.00    0.8212    0.8985
   -132.00    0.8148    0.9275
   -131.00    0.8074    0.9564
   -130.00    0.7988    0.9852
   -129.00    0.7892    1.0138
   -128.00    0.7786    1.0421
   -127.00    0.7670    1.0703
   -126.00    0.7543    1.0981
   -125.00    0.7406    1.1257
   -124.00    0.7260    1.1528
   -123.00    0.7105    1.1796
   -122.00    0.6940    1.2060
   -121.00    0.6766    1.2320
   -120.00    0.6583    1.2575
   -119.00    0.6392    1.2824
   -118.00    0.6193    1.3068
   -117.00    0.5986    1.3307
   -116.00    0.5772    1.3539
   -115.00    0.5550    1.3766
   -114.00    0.5321    1.3986
   -113.00    0.5086    1.4199
   -112.00    0.4845    1.4404
   -111.00    0.4597    1.4603
   -110.00    0.4344    1.4794
   -109.00    0.4086    1.4977
   -108.00    0.3817    1.5153
   -107.00    0.3550    1.5320
   -106.00    0.3278    1.5478
   -105.00    0.3002    1.5628
   -104.00    0.2723    1.5769
   -103.00    0.2441    1.5902
   -102.00    0.2156    1.6025
   -101.00    0.1869    1.6138
   -100.00    0.1580    1.6243
    -99.00    0.1289    1.6338
    -98.00    0.0997    1.6423
